species,event_date,lat,lon,coordinate_uncertainty_in_meters
Anguilla rostrata,1968-10-18T00:00:00Z,30.522222,-86.487222,NA
Anguilla rostrata,1968-10-18T00:00:00Z,30.4775,-86.587778,NA
Anguilla rostrata,1968-10-20T00:00:00Z,30.472222,-85.902222,NA
Anguilla rostrata,1968-10-19T00:00:00Z,30.693889,-85.886111,NA
Anguilla rostrata,1968-10-18T00:00:00Z,30.501944,-86.503333,NA
Anguilla rostrata,1968-06-08T00:00:00Z,30.5375,-85.919722,NA
Anguilla rostrata,1968-05-29T00:00:00Z,30.613611,-86.342778,NA
Anguilla rostrata,1968-04-12T00:00:00Z,30.522222,-86.487222,NA
Anguilla rostrata,1968-04-12T00:00:00Z,30.476667,-86.587778,NA
Anguilla rostrata,1967-10-14T00:00:00Z,30.529167,-86.466944,NA
Anguilla rostrata,1966-07-11T00:00:00Z,32.845,-87.207222,NA
Anguilla rostrata,1966-06-22T00:00:00Z,25.776389000000002,-80.024444,NA
Anguilla rostrata,1966-06-25T00:00:00Z,30.705,-84.826111,NA
Anguilla rostrata,1966-04-12T00:00:00Z,33.211667,-87.585278,NA
Anguilla rostrata,1965-12-02T00:00:00Z,33.211667,-87.585,NA
Anguilla rostrata,1965-09-29T00:00:00Z,33.211667,-87.585278,NA
Anguilla rostrata,1965-09-02T00:00:00Z,39.11,-76.853333,NA
Anguilla rostrata,1963-12-26T00:00:00Z,30.348889,-86.198333,NA
Anguilla rostrata,1964-12-22T00:00:00Z,30.333333,-87.143889,NA
Anguilla rostrata,1964-11-27T00:00:00Z,30.721389,-85.930556,NA
Anguilla rostrata,1964-10-04T00:00:00Z,33.211667,-87.585278,NA
Anguilla rostrata,1964-09-26T00:00:00Z,32.2525,-85.591389,NA
Anguilla rostrata,1964-10-28T00:00:00Z,30.528889,-86.467222,NA
Anguilla rostrata,1964-09-02T00:00:00Z,34.696667,-76.935833,NA
Anguilla rostrata,1964-09-04T00:00:00Z,34.780833,-76.877222,NA
Anguilla rostrata,1964-09-03T00:00:00Z,34.891667,-77.233611,NA
Anguilla rostrata,1964-09-01T00:00:00Z,34.996389,-77.001111,NA
Anguilla rostrata,1964-09-03T00:00:00Z,34.790278,-77.210833,NA
Anguilla rostrata,1964-09-01T00:00:00Z,34.918056,-76.942778,NA
Anguilla rostrata,1964-08-31T00:00:00Z,34.293056,-78.55,NA
Anguilla rostrata,1964-02-28T00:00:00Z,33.098611,-87.330556,NA
Anguilla rostrata,1964-06-04T00:00:00Z,31.104167,-90.963333,NA
Anguilla rostrata,1964-05-24T00:00:00Z,33.211667,-87.585278,NA
Anguilla rostrata,1964-05-25T00:00:00Z,33.212222,-87.585,NA
Anguilla rostrata,1964-05-27T00:00:00Z,33.212222,-87.585,NA
Anguilla rostrata,1964-04-03T00:00:00Z,32.547778,-85.480556000000007,NA
Anguilla rostrata,1963-10-17T00:00:00Z,30.721389,-85.930556,NA
Anguilla rostrata,1964-02-15T00:00:00Z,32.405,-86.1825,NA
Anguilla rostrata,1964-02-02T00:00:00Z,33.355556,-87.558333,NA
Anguilla rostrata,1963-11-23T00:00:00Z,30.245833,-88.076667,NA
Anguilla rostrata,1963-10-17T00:00:00Z,31.029444,-85.951389,NA
Anguilla rostrata,1963-06-01T00:00:00Z,30.879167,-85.661667,NA
Anguilla rostrata,1963-10-28T00:00:00Z,33.211667,-87.585,NA
Anguilla rostrata,1963-10-09T00:00:00Z,33.211667,-87.585278,NA
Anguilla rostrata,1963-09-18T00:00:00Z,33.221389,-87.550278,NA
Anguilla rostrata,1962-11-16T00:00:00Z,33.211667,-87.585,NA
Anguilla rostrata,1962-06-01T00:00:00Z,38.318611,-76.454444,NA
Anguilla rostrata,1962-11-15T00:00:00Z,33.211667,-87.585,NA
Anguilla rostrata,1962-04-21T00:00:00Z,32.513056,-85.890278,NA
Anguilla rostrata,1961-05-13T00:00:00Z,33.211667,-87.585,NA
Anguilla rostrata,1960-03-19T00:00:00Z,30.394722,-88.81,NA
Anguilla rostrata,1952-08-29T00:00:00Z,33.22,-87.556389,NA
Anguilla rostrata,1958-10-15T00:00:00Z,33.173611,-87.332222,NA
Anguilla rostrata,1955-08-29T00:00:00Z,37.220278,-77.525278,NA
Anguilla rostrata,1959-06-19T00:00:00Z,32.614722,-86.255,NA
Anguilla rostrata,1958-07-21T00:00:00Z,30.23,-88.6475,NA
Anguilla rostrata,1954-08-05T00:00:00Z,31.521944,-87.936111,NA
Anguilla rostrata,1956-03-17T00:00:00Z,30.276111,-88.037778,NA
Anguilla rostrata,1954-08-24T00:00:00Z,32.143333,-87.9825,NA
Anguilla rostrata,1952-05-08T00:00:00Z,30.598889,-87.914444,NA
Anguilla rostrata,1951-06-23T00:00:00Z,40.646667,-73.157222,NA
Anguilla rostrata,1950-01-01T00:00:00Z,29.225278,-81.023889,NA
Anguilla rostrata,1950-08-27T00:00:00Z,40.643889,-73.154722,NA
Anguilla rostrata,1950-04-15T00:00:00Z,30.254722,-87.693889,NA
Anguilla rostrata,1949-08-21T00:00:00Z,40.643889,-73.154722,NA
Anguilla rostrata,1995-11-04T00:00:00Z,31.453889,-82.038333,NA
Anguilla rostrata,1988-10-17T00:00:00Z,32.421111,-86.04,NA
Anguilla rostrata,1982-10-14T00:00:00Z,32.582778,-86.238333,NA
Anguilla rostrata,1984-05-24T00:00:00Z,32.582778,-86.238333,NA
Anguilla rostrata,1966-07-09T00:00:00Z,31.363333,-87.791389,NA
Anguilla rostrata,1987-06-09T00:00:00Z,32.5825,-86.238333,NA
Anguilla rostrata,1995-01-25T00:00:00Z,32.5825,-86.238333,NA
Anguilla rostrata,1987-04-29T00:00:00Z,32.582778,-86.238333,NA
Anguilla rostrata,1985-05-07T00:00:00Z,32.584167,-86.239167,NA
